                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7653,                 1.2093,                 1.7147,                0.67255,                0.35714,                0.41063,                0.10009,                 2.7407,                 3.2937,                 2.8751,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.7879,                 1.2186,                 1.6347,                0.64318,                0.42857,                0.41212,                0.14989,                 2.5364,                 3.5779,                 2.6816,              0.0006536,              0.0006536,              0.0006536
                     37,                  1.854,                 1.2236,                 1.7679,                0.69507,                0.42857,                0.42708,                0.15274,                 2.4396,                 3.7837,                 2.5748,               0.000614,               0.000614,               0.000614
                     38,                 1.7597,                 1.0897,                 1.6057,                0.94413,                0.42857,                0.44613,                0.15417,                 2.5073,                 3.0834,                 2.5953,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.6739,                  1.117,                 1.6443,                0.93885,                0.42857,                 0.4438,                0.18134,                 2.4882,                 2.7805,                  2.578,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.6362,                  1.118,                 1.5561,                0.66588,                0.42857,                0.47873,                0.15066,                 2.6292,                 2.3933,                 2.7412,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.6569,                  1.084,                 1.6622,                0.42733,                0.35714,                0.32136,                0.12486,                 2.7473,                 2.1725,                 2.9019,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.7315,                 1.1192,                 1.6524,                0.72232,                0.28571,                 0.2894,                0.09165,                 2.7315,                 2.1111,                 2.9407,               0.000416,               0.000416,               0.000416
                     43,                 1.6963,                 1.1229,                 1.6272,                0.90966,                0.35714,                0.42786,                0.12659,                 2.7069,                 2.1217,                 2.8982,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.5845,                0.96229,                  1.555,                0.76112,                0.28571,                0.39282,                0.12924,                 2.5703,                 2.3524,                 2.7254,              0.0003368,              0.0003368,              0.0003368
                     45,                   1.74,                 1.0454,                 1.7194,                0.47338,                0.35714,                0.40117,                0.14028,                 2.5473,                 2.2553,                 2.6483,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.7089,                0.99066,                 1.6492,                0.59178,                0.42857,                0.39948,                0.12821,                 2.5682,                 2.0611,                 2.6479,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.5828,                 1.0292,                 1.6324,                 0.5232,                0.42857,                0.41157,                0.14625,                 2.6443,                  1.987,                 2.7128,               0.000218,               0.000218,               0.000218
                     48,                  1.603,                 1.0116,                 1.5845,                0.66192,                0.42043,                0.41463,                 0.1335,                 2.6714,                 2.0408,                 2.7834,              0.0001784,              0.0001784,              0.0001784
                     49,                   1.57,                0.95042,                 1.5696,                0.64797,                0.39652,                0.42935,                0.10864,                 2.6637,                 2.0704,                 2.7892,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.5457,                0.94592,                 1.5753,                 0.7191,                0.35714,                0.43595,                0.11802,                  2.593,                 1.9591,                 2.6749,               9.92e-05,               9.92e-05,               9.92e-05
