                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2349,                 1.0663,                 1.4807,                0.88821,                0.77659,                0.86857,                0.63068,                 1.1484,                 1.0211,                 1.5149,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.2568,                 1.0959,                   1.51,                0.90972,                0.73684,                 0.8595,                 0.6217,                 1.2004,                 1.0593,                 1.5432,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.2365,                 1.0629,                 1.4692,                0.87484,                0.78947,                0.88179,                0.63891,                  1.163,                0.95637,                 1.5303,               0.000614,               0.000614,               0.000614
                     38,                 1.1984,                 1.0012,                 1.4482,                 0.8848,                0.84962,                0.90922,                0.69539,                 1.0888,                0.86677,                 1.4647,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.2451,                 1.0398,                 1.4425,                0.90141,                0.82707,                 0.9064,                0.65801,                 1.1492,                 0.9341,                 1.5016,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.1423,                0.95385,                 1.3921,                0.94732,                0.81126,                0.91219,                 0.6852,                 1.0849,                 0.8914,                 1.4619,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.1257,                0.88812,                 1.4184,                0.94016,                0.82697,                0.90038,                0.67982,                 1.1493,                0.85753,                 1.4922,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.1086,                0.86605,                 1.3696,                0.90964,                0.84962,                0.91683,                0.69443,                 1.0701,                0.86659,                 1.4375,               0.000416,               0.000416,               0.000416
                     43,                 1.0961,                0.88572,                 1.3765,                 0.9441,                0.80451,                0.91311,                0.70206,                 1.0668,                0.83807,                 1.4008,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.0853,                0.86165,                 1.3711,                 0.9271,                0.82707,                0.91125,                0.70844,                 1.0256,                0.81783,                  1.374,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.0408,                0.83715,                 1.3517,                0.94014,                0.85714,                0.92554,                0.71005,                 1.0038,                0.78896,                   1.36,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.0367,                0.77919,                 1.3244,                 0.9526,                0.83459,                0.93067,                0.70721,                 1.0474,                0.78624,                 1.3834,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.0321,                0.80423,                 1.3351,                0.95944,                0.84211,                0.92842,                0.71355,                 1.0232,                0.79216,                 1.3673,               0.000218,               0.000218,               0.000218
                     48,                 1.0394,                0.80326,                 1.3522,                0.95437,                0.82707,                0.92059,                0.72343,                 1.0019,                0.77667,                 1.3653,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.0412,                0.80734,                 1.3333,                0.96568,                0.84629,                0.91552,                0.71651,                 1.0093,                0.77135,                 1.3789,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.0471,                0.78792,                 1.3496,                0.99106,                0.83394,                0.92541,                0.72387,                 1.0215,                0.76896,                 1.3957,               9.92e-05,               9.92e-05,               9.92e-05
